suomi|lyydi|venäjä
alakulttuuri|vuit’/kultuur|субкультура
alueellinen|alovehelline|территориальный; областной, региональный
alue|aloveh|территория; область, регион
arkisto|arhiv|архив
arkisto|arhišt|архив
armeija|armij|армия
sijoitus, majoitus; pysähdys, pysäkki|azetuz|размешение; остановка
asiantuntija, ekspertti|azijan/tiedaj |эксперт
asiantuntija, spesialisti|azijan/tundij|специалист
spesialisti|specialist|специалист
ekspertti|ekspert|эксперт
asiakirja|dielo/kird’|документ
apuraha, avustus|abu/raha|грант, стипендия
asukas|eläj|житель
aukioloaika|ruad/aig|время работы
avata, aloittaa|avaita|открывать, начинать
avaus, aloite|avaiduz|открытие, начало
diplomi-insinööri|diplom/inžiner|дипломированный инженер
dokumentti|dokument|документ
edistää|edištada|продвигать, способствовать, содействовать
edistyä|edištuda|продвигаться; успевать, делать успехи
edistys|edištuz|продвижение, прогресс; содействие; успеваемость
ei-|ei- |не-, вне-
epä-|ebä-|не-, вне-
epävirallinen|ebä/virgalline|неофициальный
vai; eli, tai|vai |или, либо
eli, tai|ili|или
eli, tai|libo|или, либо
elinkeino|promuzl|промысел
elinkeinollinen|promuzlahine|промысловый
aineellinen|materijalline|материальный
enimmäkseen|enambaks|большей частью, в основном
erilainen|eriluaduine|отличный, отличающийся
kansan-, kansanomainen|rahvahalline|народный
etninen|etnuksine |этнический
kansan-|rahvahan-|народный
euro|eur|евро
Eurooppa|Europ|Европа
eurooppalainen|europpalaine|европеец; европейский
faksi|faks|факс
foorumi|forum|форум
fraasi|fruaz|фраза
lause|sanund|предложение
huomata|huomaita|замечать
havaita, huomata|nägištada |замечать
henkilö|person|персона
henkilökohtainen|personalline|персональный
Herra|Herr |Господь, Господи
Herra|Ruhtinaz|Господь, Господи
Herra|Hospodi|Господь, Господи
herra|herr|господин
huolehtia, hoitaa|huolduda|заботиться
Itämeri|Liide/meri|Балтийское море, Балтика
itämerensuomalainen|liide/meren/suomelaine|прибалто-финн; прибалтийко-финский
vatjalainen|vadd’alaine|вожанин; водский
