hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1||||||||||
abidoita||v.||||abidoičen|абидуйчен|обижаю|loukkaan, teen pahaa|||||||||||
adr|adr/e, -an, -ad (LMS 2)|s.|адрэ|соха|aatra|||||||||||||||
agan|agano, -n, -d (LMS 2)|s.|||akana|||||||||||||||
aganad|aganod (LMS 2)|s. mon.|аганот|отруби (RKS)|akanat|||||||||||||||
ahven|ahven, -en, -te (LMS 4)|s.|агвэн|окунь|ahven|||||||||||||||
aig|aig/e, -an, -ad (LMS 4)|s.|айгэ|время, пора |aika|||||||||||||||
aigoin|aigoi|adv.|айгой|рано|aikaisin, varhain|||||||||||||||
aigoitez|aigoites|s.|айгойтэс|время|aika|aigoites mugoine|айгойтэс мугойнэ|такое время|sellainen aika|||||||||||
air|airo, -n, -d (LMS 5)|s.|айро|весло|airo|||||||||||||||
ait|ait/te, -an, -tad (LMS 5)|s.|aйтэ|клеть, чулан|aitta, varastohuone|||||||||||||||
aiž|aiž/e, -an, -ad (LMS 5)|s.|айжэ|оглобля|aisa (ajoneuvojen, aatran)|||||||||||||||
ajada||v.||||ajan (LMS 5)|аян|еду; выгоняю|ajan|||||||||||
ajada||v.||||ajuon|аюон|я пригнал|ajoin|||||||||||
ajada||v.||||toižeh sijah ajan|тойжэх сиях аян|переезжаю в другое место|muutan toiseen paikkaan|||||||||||
ajand|ajande (LMS 6)|s.|аяндэ|езда|ajo|||||||||||||||
ajandsija|ajande/sija (LMS 6)|s. yhd.||стоянка, пристань|valkama|venehen ajandesija (LMS 6)||лодочная пристань|venevalkama|||||||||||
ajelta||v. frekv.||||ajelen|аэлэн|гоняю, еду, катаюсь|ajelen|||||||||||
akk|akke (LMS 6)|s.|аккэ|жена|vaimo|||||||||||||||
alahan|alahan (LMS 7)|adv.|алаган|вниз|alhaalla|||||||||||||||
alasti|alasti (LMS 7)|adv.|аласти|голый|alasti, paljaana|||||||||||||||
ald|aldo, -n, -d (LMS 8)|s.|алдо|волна, вал|aalto|||||||||||||||
alust|aluste (LMS 8)|s.|алустэ|подкладка|alusta|||||||||||||||
ambar’|ambari (LMS 9)|s.|амбари|амбар|vilja-aitta|||||||||||||||
ambuda||v.||||ambun (LMS 9)|амбун|стреляю|ammun|||||||||||
ambujaine|ambujaine (LMS 9)|s.|амбуяйнэ|оса|ampiainen|||||||||||||||
ambund|ammundu (RKS)|s.|аммунду|стрельба|ammunta|||||||||||||||
amuine|ammuine (LMS 9)|a.|aммуйнэ|давний|ammoinen|||||||||||||||
anta|and/ada ~ and/ai, -au, -uoi (LMS 10)|v.||давать, отдавать|antaa|andan (LMS 10)|андан|даю, отдаю|annan|||||||||||
suud-anta|suud/andada ~ -andai|v. yhd.||целовать||suud-andan|сууд-андан|целую|suutelen|||||||||||
