synonyymit|hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1|Sarake2|Sarake3|Sarake4|Sarake5|Sarake6|||||
|abaj|abai, -n, -d |s.||тоня, место лова|apaja, apajanvetopaikka|||||||||||||||
abedida, satattada|abidoita|abidui/ta, -čen, -čin|v.||||abiduičen (RKS)|абидуйчен|обижаю|loukkaan, kohtelen huonosti|||||||||||
|adiv|(V) ad'iv/o ~ (Lm) ad'v/o, -on, -od|s.||гостья (девушка, молодуха)|vieraileva tyttö, vieraileva nuorikko|||||||||||||||
|adivoiš|(V) ad'ivuois ~ (Lm) ad'vuois|adv.||в гостях|sukulaisissaan|||||||||||||||
|adivoihe|(Lm) ad'vuoih|adv.||в гости|sukulaisiinsa|||||||||||||||
|adr|adr/e, -an, -ad|s.|адрэ|соха|aatra|||||||||||||||
|agan|(Lm) agano, -n, -d|s.||высевки|akana|||||||||||||||
|aganad|agan/od, -uoid|s. mon.|аганот|высевки, пелёва, отруби (RKS)|akanat|||||||||||||||
lopp, n’okk, occ, piä|agd'|agj/e, -an, -ad; -juoid (LMS 3);  (V) agd'/e, -an, -ad; -d'uoid; (Ka) agd'e|s.||конец|pää (nuoran, kylän), loppu|||||||||||||||
|ahav|(V) ahavo ~ (SP) ahavu|s.||||||||||||||||||
|ahven|ahve/n ~ (V) -n', -nen, -nte; -n'id |s.|агвэн|окунь|ahven|||||||||||||||
|aig|aig/e, -an, -ad; -uoid|s.|айгэ|время, пора |aika|(V) viändön aige  (LMS 493)||время летних святок|juhannuksen aaton ja pietarinpäivän välinen aika|||||||||||
|aig||s.||||aigad mänetän (RKS)|айгат мянэттан|теряю время, мешкаю|kulutan aikaa, viivyn|||||||||||
aigoiš|aigoin|(Ph, TP) aigoi (RKS) ~  (V) aiguoin|adv.|айгой|рано|aikaisin, varhain|||||||||||||||
aig|aigoitez|aigoites (RKS)|s.|айгойтэс|время|aika|aigoites mugoine (RKS)|айгойтэс мугойнэ|такое время|sellainen aika|||||||||||
kibu, kibištuz, raipaiduz|ailaz|aila/z, -ksen, -ste; (V) aila/z, -han, -st; -hid|s.||||||||||||||||||
|ailazhein|ailaz/heine (NFL 515)|s. yhd.||герань (лесная), трава от колотья (NFL 515)|metsänkurjenpolvi, pistosheinä|||||||||||||||
ainag|aino|ainuoi|a. taipum.||||||||||||||||||
aino|ainag|(V) ainag/o, -on, -god|a.||||||||||||||||||
|ainos|ainoz ~ (V) aino|adv.||||||||||||||||||
mela|air|airo, -n, -d|s.|айро|весло|airo|||||||||||||||
|ait|ait/te, -an, -tad|s.|aйтэ|клеть, чулан|aitta, varastohuone|||||||||||||||
|aiž|aiž/e, -an, -ad|s.|айжэ|оглобля|aisa (ajoneuvojen, aatran)|||||||||||||||
|ajada|(V) aj/ada, -an, -uoin|v.||ехать; гнать, загонять, загнать, вгонять, вогнать, нагонять, нагнать, выгонять, выгнать, изгонять, изгнать, прогонять, прогнать; наметать (сугроб); сплавлять (лес); рубить (подсеку); вздувать, вздуть, нарывать|ajaa, purjehtia, soutaa, hiihtää; karkoittaa, ajaa takaa, kasata, uittaa (tukkeja), työntää, lyödä, pistää, kaataa (kaskea), ajaa (pahka), nostaa (rakko); käskeä, hälyttää (kokoukseen); noudattaa|ajan (RKS)|аян|еду; выгоняю|ajan|||||||||||
|ajada||v.||||toižeh sijah ajan (RKS)|тойжэх сиях аян|переезжаю в другое место|muutan toiseen paikkaan|||||||||||
|ajada||v.||||(Ka) mina ajan lidnaa||я еду в город|minä ajan kaupunkiin|||||||||||
|ajada||v.||||ajuon (RKS)|аюон|я пригнал|ajoin|||||||||||
|ajand|ajand/e, -an, -ad|s.|аяндэ|езда|ajo|||||||||||||||
valgam|ajandsija|ajande/sija|s. yhd.||стоянка, пристань|valkama|venehen ajandesija (LMS 6)||лодочная пристань|venevalkama|||||||||||
|valgam|valgam/o, -on, -od; -uoid|s.||пристань, гавань; узкое место (в проливе, реке)|valkama, venevalkama; kapea paikka (salmessa, joessa, Td)|||||||||||||||
|ajelta|aje/lta, -len, -l'in|v. frekv.||ездить, кататься; гонять, преследовать; сучить, раскатывать тесто|ajella, soudella, kulkea aluksella, hiihdellä; ajella takaa; kaulita, kaaviloida taikinaa|ajelen (RKS)|аэлэн|гоняю, еду, катаюсь|ajelen|||||||||||
mučoi, naine|akk|a/kke, -kan, -kkad; -kuoid|s.|аккэ|жена|vaimo|put'in akke||хорошая жена|kunnon vaimo|||||||||||
|akk||s.||||konze kuoli Pol'l'i-akke, kod'i müödih||когда умерла жена Полли, дом продали|Polli-vaimon kuoltua talo myytiin|||||||||||
|akk||s.||||akan ke||с женой|vaimon kanssa|||||||||||
ei|ala II|älä, älgäh, älgä/t ~ -d (LMS 48), älgädäh|kieltov. imperat.||не|älä|älä rängü! (RKS)|аля рянгю|не реви!, не кричи!|älä huuda!|||||||||||
|ala II||kieltov. imperat.||||älgät nagragat!||не смейтесь!|älkää naurako!|||||||||||
|ala II||kieltov. imperat.||||älgädäh süödägäh! (LÖMS 49)||пусть они не едят!|älkööt syökö!|||||||||||
alahaks(piä)|alahan|alahan|adv.|алаган|вниз (RKS)|alhaalla|||||||||||||||
|alahaks(piä)|(V, SP) alahakse|adv.||||||||||||||||||
|ülähaks(piä)|ülähäkse|adv.||||||||||||||||||
|ülähan|ülähän|adv.||||||||||||||||||
|alasti|alast'i|adv.|аласти|голым|alasti, paljaana|||||||||||||||
|ald|ald/o, -on, -od; -uoid|s.|алдо|волна, вал|aalto|||||||||||||||
|alust|alust/e, -an, -ad|s.|алустэ|подкладка|alusta|||||||||||||||
ait|ambar’|amba/ri ~  (V) -r'i|s.|амбари|амбар|vilja-aitta|||||||||||||||
|ambuda|ambu/da, -n, -in|v.||стрелять|ampua|ambun (RKS)|амбун|стреляю|ammun|||||||||||
|ambuda||v.||||(Tsar) ambui n'eid'iižed||он застрелил девушек|ampui tytöt|||||||||||
|ambuda||v.||||ruskedad ambuttih||красные застрелили|punaiset ampuivat|||||||||||
|amburijaine|ambuja/ine, -ižen, -šte ~ (V) -št; -ižid|s.|амбуяйнэ|оса|ampiainen|||||||||||||||
|ambund|(V) ambund/e, -an|s.|аммунду|стрельба|ammunta|||||||||||||||
endine, vahn|amuine|ammu/ine, -ižen, -šte; -ižid|a.|aммуйнэ|давний|ammoinen|||||||||||||||
|anta|and/ada ~ and/ai, -au, -uoi; -etah, -ettih|v.||давать, отдавать|antaa|andan (RKS)|андан|даю, отдаю|annan|||||||||||
|anta||v.||||(V) andan barbal selgaa||дам вицей по спине|lyön varvulla selkään|||||||||||
|anta||v.||||ei andettu||не дали|ei annettu|||||||||||
|anta||v.||||anda vette! ||дай воды!|anna vettä!|||||||||||
|anta||v.||||anda kappud!||дай картошки!|anna perunaa!|||||||||||
čukurta|suud-anta|suud/andada ~ -andai|v. yhd.||целовать|suudella|suud-andan (RKS)|сууд-андан|целую|suutelen|||||||||||
|anup|anoppi|s.|аноппи|тёща|anoppi, vaimon äiti|||||||||||||||
|app|appi, (Lm) apin|s.|аппи|тесть|appi, vaimon isä|||||||||||||||
|arbuuz|arbu(u)z/e, -an, -ad (RKS)|s.|арбузэ|арбуз|vesimeloni|||||||||||||||
|ardeh|ardeh|s.|ардэ|клад|aarre|||||||||||||||
|arest|arest/u, -an, -ad (RKS)|s.|аресту|арест|pidätys|||||||||||||||
|armaz|arma/s, -han|a.|армас|милый, дорогой|armas|||||||||||||||
arm|armoine|(TP) armo/ine, -zen|s. dem.||милость, защита|armo, turva|||||||||||||||
armoine, vahnemb|armoiženi|(TP) armo/izeni, -stani|s. dem.||мой родитель|minun vanhempani (itkuv.)|||||||||||||||
|aršin|aršin, -an, -ad|s.|аршин|аршин|arsina|||||||||||||||
artug, artut’, elävhobed|artugad|artugat (RKS)|s. mon.|артугат|ртуть|elohopea|||||||||||||||
|astuv|astu/u, -van|s.|асту|борона|äes, karhi|||||||||||||||
astij|astijad|ast'ai/d ~ -t (RKS)|s. mon.|астяйт|посуда|astiat|||||||||||||||
astijad|astij|ast'/ii ~ as't'/ii, -ain, -aid; -uoiden, -uoid|s.||сосуд, посудина|astia|||||||||||||||
|astuda|astu/da, -n, -in|v.||идти|astua, kulkea|astun (RKS)|астун|иду|astun|||||||||||
|astuvoita|(TP) aščivoi/da, -čou, -tah|v.||боронить|äestää|astuvoičen (RKS)|aстувойчен|бороню|äestän|||||||||||
|atkal|atkal|a.|аткал|скучно|ikävä|||||||||||||||
|avadim|avad'i/n ~ -m; -men|s.|авадин|ключ|avain|||||||||||||||
ABC, ABC-kird'|azbuk|azbu/kke, -kan, -kkad; -kuoid|s.|азбуккэ|азбука|aakkoset, aakkosto, aapinen, aakkoset|mikse on azuttu, sikse||зачем (он) сделан, для того|mitä varten on tehty, sitä varten|||||||||||
azuda|luadida|(V, TP) luad'i/da, -n, -in|v.||||||||||||||||||
luadida, valmištada|azuda|azu/da, -n, -in; -u, -i; -tah, -ttih ~ -ttihe|v.||делать, изготовлять|tehdä, valmistaa|loukot azuta(h) (RKS)|локот азута|выдалбливают, делают дыру|reiät tehdään|||||||||||
|azuda||v.||||kod'il lo azutah ||у дома делают|talon luona tehdään|||||||||||
|azuda||v.||||ruahtod azuin ||я творог сделала|rahkaa tein|||||||||||
|azuda||v.||||(SP) pillan azui||он нанёс вред|teki vahingon|||||||||||
|azuda||v.||||azuttih kod'is||делали дома|tehtiin kotona|||||||||||
|azuda||v.||||(Tsar) puuhiižed azuttih||деревянные (крыши) делали|puisia (kattoja) tehtiin|||||||||||
|azuda||v.||||mikse on azuttu, sikse||зачем (он) сделан, затем|mitä varten on tehty, sitä varten|||||||||||
|azuda||v.||||azu nenga!||сделай так!|tee näin!|||||||||||
|azuda||v.||||seppe azuu raudas kaikked luadud raudebrujad||кузнец изготавливает из железа железные вещи всякого свойства|seppä tekee raudasta kaikenlaisia rautaesineitä|||||||||||
|avaita|avai/ta, -dau, -ži|v.||открывать, открыть|avata, aukaista|||||||||||||||
avaitakse, aveta|avaiduda|avaidu/da, -u, -i|v.||открываться, открыться|avatautua, aueta|||||||||||||||
avaiduda, aveta|avaitakse|avai/takseh, -žiheze (LMS 13)|v. refl.||открываться, открыться|avatautua, aueta|havado avaižiheze (LMS 13)||мешок открылся|säkki avautui|||||||||||
puzu|bank II|bank/e, -an, -ad|s.|банкэ|банка (стеклянная)|purkki, lasipurnukka, tölkki|||||||||||||||
|bapk|bapk/e, -an, -ad|s.|бабкэ|бабка, игральная кость|papukkapeli|||||||||||||||
bapk|kühläz|(TP) kühlä/s, -hän; -hile; (Lm) kühlas|s.||суслон, бабка из снопов|kuhilas|(TP) liuftehed pandah kühlähile||снопы складывают в бабки|llyhteet pannaan kuhilaille|||||||||||
