Synonyymit|Määrittely|kirjalyydi|Murremuoto|Venäjännös|Suomennos|1. esim.|1. esim:n venäjännös|1. esim:n suomennos|2. esim.|2. esim:n venäjännös|2. esim:n suomennos
Anuks'|pn. yhd.|Anuksenlidn|(N) Anuksen/lidn|Олонец (город)|Aunuksenlinna, Aunuksenkaupunki||||||
Anuksenlidn|pn.|Anuks'|Anus, Anukses, Anuksee|Олонец|Aunus||||||
|hn.|Anni|An'n'i, -n, -d; -iden, -id|Анна|Anna||||||
|hn.|Damil|Damil|Данила|Taneli, Daniel||||||
D'akku, D'aša|hn.|Dašu|Dašu|Дарья, Даша|Tarja, Dareia||||||
D'aša, Dašu|hn.|D'akku|D'akku|Яков|Jaakko, Jaakob||||||
D'akku, Dašu|hn.|D'aša|D'aša|Яков, Яша|Jaakko, Jaakob||||||
D'aša|hn.|D'aška|D'aška|Яков, Яшка|Jaakko, Jaakob||||||
|hn.|Dermij|D'er'mi/i, -än, -äd|Иеремия|Jeremias||||||
Fed'oi|hn.|Fed'a|(Hj) Fed'a (LT4 221)|Фёдор, Федя|Huotari, Teodoros||||||
|hn.|Foma|Foma, -n, -d|Фома|Tuomas||||||
|hn.|Gauroi|(Hj) Gauruoi (LT4 221)|Гавриил|Gabriel||||||
|hn.|Grin'u|Grin'u, -n, -d|Григорий, Гриня|Grigorios||||||
|hn.|Hilip|Hil'i/pp, -pän, -ppäd; -pöid|Филипп|Filippos||||||
|hn.|Iroi|Iroi, -n, -d|Ирина, Ира|Irinja, Irene||||||
|hn.|Iud|Iuda|Иуда|Juudas||||||
|s. yhd.|Ill'anpäiv|Il'l'am/päiv|Ильин День (20.7./2.8.)|Elian päivä (20.7./2.8.)||||||
Iivan, Vanni|hn.|Iššu|(Hj) I/ššu, -šun (LT4 222)|Иван|Iivana, Johannes|(Hj) Išun nur'm (LT4 222)|луг Ивана|Iivanan niitty|||
Katti|hn.|Kata|Kata|Екатерина, Катя|Katariina||||||
Kata|hn.|Katti|Katti|Екатерина, Катя|Katariina||||||
|hn.|Kiril|Kiril|Кирилл|Kirillos||||||
|hn.|Kuuzma|Kuuz'ma ~ (Hj) Kuz'ma (LT4 224)|Кузьма|Kosmas||||||
|hn.|Maksim|Makšim, -an, -ad; -oid|Максим|Maksimos||||||
|hn.|Marfa|Marfa|Марфа|Martta||||||
|hn.|Matfij|Matfi/i, -an, -ad; -oid|Матвей|Matteus||||||
|hn.|Marin|Mar'in, -an, -ad; -oid|Марина|Marina||||||
|hn.|Marki|Mar'/ki, -kin, -kkid; -kiid|Марк|Markus||||||
|hn.|Maša|Maša|Мария, Маша|Maria||||||
|hn.|Makoi|Ma/koi, -koin, -koid; -kkoloid|Макарий, Макар|Makarios||||||
|hn.|Miikul|Miikkul, -an, -ad; -oid|Николай|Miikkula, Nikolaos||||||
|hn.|Mitrij|Mitr'i/i, -an, -ad|Дмитрий|Demetrios||||||
|hn.|Mikki|Mi/kki, -kin, -kkid; -kiid|Никита|Niketas||||||
|hn.|Nastoi|Nastoi|Анастасия, Настя|Anastasia||||||
Nata|hn.|Natoi|Natoi|Наталья|Natalia||||||
|hn.|Ofon'|Ofon'|Афанасий|Afanasi, Atanasios||||||
Šantu|hn.|Oleksandr|Ol'eksandr|Александр|Aleksanteri||||||
|hn.|Oleksij|Ol'eksi/i, -an, -ad|Алексей|Aleksi, Aleksios||||||
|hn.|Ol'oi|Ol'oi|Елена|Helena||||||
|hn.|Ondrij|On'dri/i, -an, -ad|Андрей|Andreas||||||
|pn. yhd.|Onegandärv|On'egan'/d'ärv|Онежское озеро|Äänisjärvi||||||
|hn.|Osip|Os'i/p, -pan, -ppad; -poid|Иосиф|Jooseppi, Joosef||||||
Pauši|hn.|Pauloi|Pauloi ~ (Hj) Pauluoi (LT4 226)|Павел|Paavo, Paavali||||||
Pauloi|hn.|Pauši|(Hj) Paušši (LT4 226)|Павел|Paavo, Paavali||||||
Peša, Pekko, Pešoi|hn.|Pedri|Pedr'i|Пётр|Petri, Pietari||||||
Pedri, Pekko, Pešoi|hn.|Peša|Peša|Пётр|Pekka||||||
Pedri, Peša, Pešoi|hn.|Pekko|Pekko|Пётр|Pekko, Pekka||||||
Pedri, Peša, Pekko|hn.|Pešoi|Pešoi|Пётр|Pekka||||||
|pn.|Piiter'|Piit'er', -is|Санкт-Петербург, Питер|Pietarin kaupunki||||||
|a.|ropak|(B, Td) ropa/kk, -kon, -kkod; -koid|шершавый, шероховатый, неровный|rosoinen, karhea, epätasainen||||||
|hn.|Timoi|T'imoi|Тимофей|Timo, Timoteos||||||
|hn.|Varvoi|Varvoi|Варвара|Varvara, Barbara||||||
|hn.|Vaska|Vas'ka, -n, -d|Василий, Вася|Vasili, Basileios||||||
|pn.|Videl'|Vid'el', -is|Видлица|Vitele||||||
|pn. yhd.|Voznosend'anpristan'|Voknosen'n'am/pristan|Вознесенье (посёлок над р. Свирь)|Vosnosenja (Syväri)||||||
|a.|abidahine|abidahi/n'e, -žen, -št; -židen, -žid|обидчивый|pahamielinen, murheinen||||||
