	Hakusana	Etelälyydi	Venäjä	Suomi	Esimerkki etelälyydiksi	Esimerkin venäjännös	Esimerkin suomennos
s.	alaižed	alaažed	варежки	tumput			
s.	bačk	bačk, -an, -ad	бак	säiliö			
s.	badminton	badminton, -an, -ad	бадмитон	sulkapallo			
s.	baidark	baidark, -an, -ad	байдарка	kajakka			
s.	bajan	bajan, -an, -ad	баян	harmonikka			
s.	bajar’	bajar’, -in, -id	барин (KTK), боярин	herra, pajari			
s.	balalaik	balalaik, -an, -ad	балалайка	balaikka			
s.	balet	balet, -an, -ad	балет	baletti			
s.	balkon	balkon, -an, -ad	балкон	parveke			
s.	banan	banan, -an, -ad	банан	banaani			
s.	banderol’	banderol’	бандероль	pienikokoinen postipaketti			
s.	bandit	band’it, -an, -ad	бандит	bandiitti, rosvo			
s.	bant	bant, -an, -ad	бант	rusetti			
s.	barak	barak, -an, -ad	барак	parakki			
s.	bard	bard, -an, -ad	борода	parta			
a.	bardakaz	bardakaz	бородатый	parrakas, partainen			
s.	barhat	barhat, -an, -ad	бархат	sametti			
s.	bariš	bar’iš, -an, -ad (KTK)	барыш	voitto, hyöty			
s.	barkas	barkas, -an, -ad	баркас	parkaasi			
s.	barometr	barometr, -an, -ad	барометр	ilmapuntari			
s.	barrikad	bar’r’ikad, -an, -ad	баррикада	barrikadi			
s.	barž	barž, -an, -ad	баржа	proomu, lotja			
s.	baskedbol	baskedbol, -an, -ad	баскетбол	koripallo			
s.	bašlik	bašl’ik, -an, -ad (KTK)	башлык	paslikka			
s.	bassein	bas’s’ein, -an, -ad	бассейн	uima-allas			
v.	bastuida	bastu/ida, -ib, -i	бастовать	lakkoilla, olla lakossa	häin ei bastuinu (KTK)	он не бастовал	hän ei ollut lakossa
s.	batareik	batar’eik, -an, -ad	батарейка	paristo			
s.	baton	baton, -an, -ad	батон	patonki			
s.	batrak	batrak, -an, -ad	батрак	renki			
s.	bazar	bazar, -an, -ad	базар	kauppatori			
s.	begemot	begemot, -an, -ad	бегемот	virtahepo			
s.	begudid	begud’id	бигуди	papiljotit			
s.	belet	bel’et (KTK) ~ bil’et, -an, -ad (IL) 	билет	lippu			
v.	bestoita	bestuota (KTK)	общаться на бесёде; беседовать	seurustella illanistujaisissa; keskustella			
s.	biblij	bibl’ij, -an, -ad	Библия	raamattu			
s.	bibliotek	bibliot’ek, -an, -ad	библиотека	kirjasto			
s.	binokl’	binokl’	бинокль	kiikai			
s.	bint	bint, -an, -ad	бинт	side			
v.	bintuida	bintuida	бинтовать	sitoa (haava)			
s.	binzin	binz’in, -an, -ad	бензин	bensiini			
s.	biolog	biolog	биолог	biologi			
s.	birboi	birbuu	верба	paju			
s.	birž	birž	биржа	pörssi			
s.	biskvit	biskvit, -an, -ad	бисквит	sokerikakku; kuivakakku			
s.	biton	biton, -an, -ad	бидон	tonkk			
s.	bitv	bitv, -an, -ad	битва	tappelu			
s.	bl’uod	bl’uod, -an, -ad	блюдо	tarjoiluvati, ruokalaji			
s.	blücc	bl’ucc	блюдце	aluslautanen			
s.	bohat	bohat, -an, -ad	богач	rikas mies			
s.	bohatstv	bohatstv, -an, -ad	богатство	vauraus, rikkaus			
s.	boi	boi	бой	taistelu			
s.	boic	boic	боец	taistelija			
s.	bokk	bokk	бок	kylki			
s.	bombituz	bombitu/z, -sen, -st	бомбёжка	pommitus			
s.	bomböšk	bomböšk, -an, -ad	бомбёжка	pommitus			
v.	borčuida	(Pal) borčuuda	бороться	taistella, kamppailla			
v. refl.	borčuidakse	borčuidakse	бороться	kamppailla	ed ehtnu borčuidakse (KTK)	ты не успел побороться	et ehtinyt kamppailla
s.	bošš	bošš, bošin, boššid	баран	pässi			
s.	botink	bot’ink	ботинок	kenkä			
v. refl.	breidakse	br’eidakse	бриться	ajaa partaa			
s.	briedind	br’ied’ind	бред	houre			
v.	briezguida	br’iezguida	брезговать	inhota, hylkiä, halveksia			
s.	britv	br’itv, -an, -ad	бритва	partaveitsi			
s. mon.	brizgad	brizgad	брызги	roiskeet, pärskeet			
v.	brizgoita	brizguuta	брызгать	roiskuttaa, purskahtaa			
v.	briznida	brizn’ida	брызнуть	roiskia, pärskyttää			
s.	bronhit	bronhit, -an, -ad	бронхит	keuhkoputkentulehdus			
s.	brošk	brošk, -an, -ad	брошка	rintaneula, brošši			
s.	brükad	br’ukad	брюки	housut			
s.	brükv	br’ukv, -an, -ad	брюква	lanttu			
s.	bučč	bučč, bučin, buččid	бочка	tynnyri			
s.	bučiine	buči/in’e, -ižen, -št	бочонок	pieni tynnyri			
s.	buket	buket, -an, -ad	букет	kukkakimppu			
s.	bukv	bukv, -an, -ad	буква	kirjain			
s.	bulafk	bulafk, -an, -ad	булавка	nuppineula			
s.	bulk	bulk, -an, -ad	булка	pulla, sämpylä			
s.	bumag	bumag	бумага	paperi			
adv.	bumagahine	bumagahi/in’e, -ižen, -št	бумажный	paperinen			
v.	burišta	bur’išta	бормотать, бурчать, ворчать	mutista, kurista, nurista			
s.	busad	busad	бусы	helmet			
s.	büdžet	büd’žet	бюджет	budjetti			
s.	bülleten’	bül’l’et’en’	бюллетень	tiedote. vaalilippu			
s.	büro	büro	бюро	toimisto			
s.	d’umalan-	d’umalan-	божий	jumalan-			
v.	d’uoksendelta	d’uoksendel’da	бегать	juosta			
s.	d’uokseteluz	d’uoksetel’uz	бег	juoksu			
s.	diel	d’ielo	дело	asia	t’ühd’ d’ielo	пустое дело, вздор	turha asia
adv.	edahaks	edahaks	вдаль	kauas			
adv.	edahan	edahan	вдалеке	kaukana, etäällä			
s.	elo	elo	богатство	vauraus			
s. yhd.	eloaig	elo/aig	жизнь, время жизни	elämä, elinaika	oma eloaig	биография	
v.	elävduda	el’äbduda	воскреснуть				
adv.	enamb	enamb	более	enemmän			
adv.	enamb	enamb	больше	enemmän			
