s.|kündänd|kündand ~ kündänd, -an, -ad|пахота, вспашка|kyntäminen||||||
a.|-perehine|-perehi/in’e, -ižen, -št|-семейный|||||||
a.|-südamelline|-s’üdamel’i/in’e, -ižen, -št|-сердечный|||||||
v.|abedida|(Pal) abed’ida|обижать; унижать|||||||
s.|abid|abid|обида; обидно|||||||
adv.|abidas|abidas|жалобно|||||||
s.|abu|abu|поддержка|||||||
s.|abu|abu|подмога|||||||
s.|abu|abu|помощь|||||||
s.|abu|abu|услуга|||||||
s.|abunik|abun’ik|помощник|||||||
v.|abuttada|abu/tada, -tab, -t’ ~ -t’ii|подсобить|||||||
v.|abuttada|abu/tada, -tab, -t’ ~ -t’ii|помогать|||||||
v.|abuttada|abu/tada, -tab, -t’ ~ -t’ii|услужить|||||||
s.|adr|adr|соха|||||||
s.|aganad|aganad|мякина|||||||
s.|ägestuz|ägestu/z, -sen, -st|боронование|äestäminen||||||
s.|ägez|äge/z ~ ägeh (IL), -hen, -st|борона|äes, hara, karhi|ägehen siäd’iim (LMS)|мы сделали борону|äkeen teimme|||
a.|ahavoittu|ahavuutud|вяленый|||||||
a.|ahavoittu|ahavuutud|обветренный|||||||
v.|ähkäita|äh’kääta|толкнуть, воткнуть|||||||
v.|ähkelta|ähkel’ta|отталкивать|||||||
v.|ähkida|ähkta|толкать|||||||
v. refl.|ähkidakse|ähktakse|толкаться|||||||
s.|ahtahuz|ahtahu/z, -sen, -st  (IL)|теснота|||||||
a.|ahtaz|ahtaz|тесный|||||||
adv.|ahtaz|ahtaz|тесно|||||||
s.|ahtaz|ahtaz|теснота||olda ahtahas|ютиться||||
s.|ahven|ahven’|окунь|||||||
s.|aid|aid|ограда||panda aid|ограждать||||
s.|aid|aid|плетень|||||||
s.|aig|aig|период|||||||
s.|aig|aig|пора|||||||
s.|aig|aig|срок|||||||
s.|aig|aig|эпоха|||||||
s.|aig|aig|время|aika|nuor’ aig|юность||||
adv.|aigahsai|aigaha/saa|заблаговременно|||||||
a.|aigaine|aiga/an’e, -ažen, -št|ранний|||||||
adv.|aigaižesti|aigaažest’i|раненько|||||||
adv.|aigemba|aigemba|ранее|||||||
adv.|äijäksgo|äjaks’ik|насколько|||||||
a. yhd.|äijäl/kuuluj|äjal/kuuluj|громкий|äänekäs||||||
s. yhd.|äijäl/borččuj|äjal/borčuj|многоборец|||||||
a. yhd.|äijänkierdaine|äjan/kierdaan’e|многократный|||||||
s.|äijäntiedaj|äjan/t’iedaj|эрудит|||||||
s. yhd.|äijäpäiv|äja/päiv|Пасха|||||||
adv.|äijgo|äik|сколько|||||||
a.|aino|aino|единственный|||||||
s.|ait|ait, -an, -ad|амбар, чулан, кладовка, клеть|aitta, varastohuone|mäne aitha (KTK)|сходи в амбар|käy aitassa|tuo mida-n’i aitas piä (KTK)|принеси что-нибудь из амбара|tuo jotakin aitasta
s.|ajaj|ajaj, -an, -ad|ездок|ajaja||||||
s. yhd.|raccahil/ajaj|rachiil/ajaj|всадник|||||||
s.|ajaj|ajaj|пассажир|||||||
a.|ajamatoi|ajamatuu|необъезженный|||||||
s.|ajand|ajand|езда|||||||
s.|ajelend|ajel’end|катание|||||||
v.|ajelta|ajel’ta|гонять|"ajaa, ajella,juoksuttaa,jahdata"||||||
v.|ajelta|ajel’ta|ездить|||||||
s.|akk|akk|женщина; жена|||||||
s.|akk|akk|супруга|||||||
s.|akoidenvračč|akuun/vračč|гинеколог|gynekologi||||||
s.|akt|akt, -an, -ad|акт|akti|akt pidab kir’itada (KTK)|нужно написать акт|pitää kirjoittaa akti|||
s.|akul|akul, -an, -ad|акула|haikala, hai||||||
s.|akušerk|akušerk, -an, -ad|акушерка|kätilö||||||
adv.|alahaiči|alahaači|низом|||||||
adv.|alahaks|alahaks|вниз||panda alahaks|опускать||||
adv.|alahan|alahan|низко|||||||
adv.|alahanpiä|alaham/piä|снизу|||||||
s.|alain’e|ala/an’e, -ažen, -št|рукавица|||||||
s.|alaižed|alaažed|варежки|tumput||||||
adv.|alasti|alast’i|голышом, догола|||||||
adv.|alasti|alas’ti|нагишом|||||||
s. dem.|aldoine|ald/uun’e, -uužen, -ošt|маленькая волна|pieni aalto|hubad alduužed|маленькие волны, зыбь|pienet aallot|||
a.|alemb|al’emb|низший|||||||
adv.|alemba|al’emba|ниже|||||||
a.|alembaine|al’emba/an’e, -ažen, -št|нижний|||||||
v.|aleta|al’eta|угомониться|||||||
postp.|alpiä|alpiä|из-под|||||||
s.|alužim|alužim|наковальня|||||||
v.|ambuda|ampta|выстрелить|ampua||||||
v.|ambuda|ampta|застрелить|||||||
v.|ambuda|ampta|расстрелять|||||||
v.|ambuda|ampta|стрелять|||||||
s.|ambuj|ambuj|стрелок|||||||
s.|ambund|ambund|выстрел|laukaus||||||
s.|ambund|ambund|обстрел|||||||
s.|ambund|ambund|пальба|||||||
s.|ambund|ambund|стрельба|||||||
s.|amburijaine|(Pal) ambruja/an’e, -ažen, -št|оса|||||||
adv.|amožеt|amožеt (KTK)|авось, а может|ehkä|amožеt puutub kala (KTK)|авось рыба попадётся|ehkä tulee kalaa|||
adv.|amu|amu|давно|||||||
adv.|amu|amu|давно||ül’en amu|очень давно||||
a.|amuine|am/uin’e, -uižen, -ušt|давний|kaukainen, muinainen||||||
a.|amuine|am/uin’e, -uižen, -ušt ~ (Pal) am/uun’e, -uužen, -ušt|древний|s.|amuun’e aig|старина|vanhat ajat|||
a.|amuine|am/uin’e, -uižen, -ušt|давний||amuižes ~ (Pal) amuužes aigas|с давних времен||||
v.|amuldaita|amuldaata|зачерпнуть|||||||
v.|amulta|amulta|черпать, исчерпать|||||||
s.|andamine|andami/in’e, -ižen, -št|подача|||||||
s.|andatr|andatr|ондатра|||||||
v.|anta|anta|давать, выдавать|"antaa; ilmaista, antaa tiedoksi,paljastaa, kavaltaa, pettää,luovuttaa (rikollinen maasta)"||||||
v.|anta|anta|подавать|||||||
v.|anta|anta|сдать|||||||
v. refl.|antakse|antakse|сдаваться|||||||
s.|anup|anup|свекровь|||||||
s.|anup|anup|тёща|||||||
s.|app|app|свёкор; тесть|||||||
s.|arbatuz|arbatu/z, -sen, -st|загадка|||||||
s.|ard|ard|перила|||||||
s.|arest|ar’est, -an, -ad|арест|aresti, pidätys||||||
a.|arestuittu|ar’estuitud (KTK)|арестованный|pidätetty||||||
s.|arkan|arkan, -an, -ad|аркан|suopunki||||||
s.|armastand|armastand|ласка|||||||
s.|armastand|armastand|любовь|||||||
a.|armaz|armaz|желанный|||||||
a.|armaz|armaz|ненаглядный|||||||
s.|artel’|art'el’|артель, группа, гурьба, компания, коллектив|artteli||||||
s.|artist|art’ist|актриса|||||||
s.|arttel’|art’el’|орава|||||||
s.|arttel’|art’el’|стадо|||||||
s.|arttel’|art’el’|толпа|||||||
s.|artut’|artug|ртуть|||||||
s.|arv|arv|стоимость|||||||
s.|arv|arv|цена||pidada arvos|ценить||||
v.|ärzüttada|ärz’ü/tada, -tab, -t’ ~ -t’ii|раздразнить|||||||
part.|äskei|äskii|даже|||||||
s.|astij|ast’ij|сосуд|||||||
s.|astijad|ast’ad|посуда|||||||
v.|astuda|asta|шагать|astaa||||||
adv.|astude|ast(t)e|шагом|askelin|mänen astte (KTK)|иду шагом|kävelen askelin|||
s.|atak|atak, -an, -ad|атака|rynnäkkö||||||
v.|atakuida ~ atakuuda (KTK)|atakuida ~ atakuuda (KTK)|атаковать|hyökätä|häin ei atakuunu (KTK)|он не атаковал|hän ei hyökännyt|||
a.|atkav|atkav|грустный|surullinen||||||
s.|atkav|atkav|скука|||||||
adv.|atkav|atkav|скучно|||||||
s.|avaind|avaand|открытие|||||||
v.|avaita|avaata|отворить|||||||
v.|avaita|avaata|отпереть|||||||
v.|avaita|avaata|разинуть|||||||
v.|avaita|avaata|раскрывать|||||||
v.|avaita|avaata|распахнуть|||||||
v.|avata|avata|обнажать|||||||
adv.|avoin|avuun|нараспашку|||||||
adv.|avoin|avuun|настежь|||||||
s.|avoinsuu|avuun/suu|разиня|||||||
s. yhd.|avoinsuu|avuun/suu|ротозей|||||||
v. refl.|azettudakse|azetudakse|останавливаться|||||||
v.|azuda|azuda|делать|||||||
s.|bačk|bačk, -an, -ad|бак|säiliö||||||
s.|badminton|badminton, -an, -ad|бадмитон|sulkapallo||||||
