s.|kündänd|kündand ~ kündänd, -an, -ad|пахота, вспашка|kyntäminen|||||||||
v.|abedida|(Pal) abed’i/da, -b, -i|обижать, унижать|kiusata, alistaa|||||||||
s.|abid|abid, -an, -ad|обида|mielipaha, harmi|mida ol'ed abidas? (KTK)|на что ты в обиде?|mikä sinua harmittaa?||||||
adv.|abid|abid|обидно|harmillista|||||||||
adv.|abidas|abidas|жалобно|haikeasti|||||||||
s.|adr|adr, -an, -ad|соха|aatra|||||||||
s. mon.|aganad|agan/ad, -uun, -uud|мякина|akanat|||||||||
s.|ägestuz|ägestu/z, -sen, -st|боронование|äestäminen|||||||||
s.|ägez|äge/z, -hen, -st ~ ägeh (IL)|борона|äes, hara, karhi|ägehen siäd’iim (LMS)|мы сделали борону|äkeen teimme||||||
s.|ahtahuz|ahtahu/z, -sen, -st  (IL)|теснота|ahtaus|||||||||
a.|ahtaz|aht/az, -han, -ast|тесный|ahdas|||||||||
adv.|ahtaz|ahtaz|тесно|ahdasta|||||||||
s.|ahtaz|aht/az, -han, -ast|теснота|ahtaus|olda ahtahas (IL)|быть в тесноте, ютиться|olla ahtaalla||||||
adv. yhd.|aigahsai|aigaha/saa|заблаговременно|hyvissä ajoin|||||||||
a.|aigaine|aiga/an’e, -ažen, -št|ранний|aikainen, varhainen|||||||||
adv.|aigemba|aigemba|ранее|aiemmin|||||||||
adv.|äijäksgo|äjaks’ik|насколько|mikäli, kuinka paljon|||||||||
a. yhd.|äijäl/kuuluj|äjal/kuuluj|громкий|äänekäs|||||||||
s. yhd.|äijäl/borččuj|äjal/borčuj (IL)|многоборец|moniottelija|||||||||
a. yhd.|äijänkierdaine|äjan/kierdaan’e|многократный|monikertainen|||||||||
s. yhd.|äijäntiedaj|äjan/t’iedaj (IL)|эрудит|laajatietoinen|||||||||
s. yhd.|Äijäpäiv|äja/päiv|Пасха|pääsiäinen|||||||||
adv.|äijgo|äik|сколько|paljonko|||||||||
a. taipum.|aino|aino|единственный|ainoa, ainut|aino poigaan'e|единственный сыночек|ainoa poika||||||
s.|ait|ait, -an, -ad|амбар, чулан, кладовка, клеть|aitta, varastohuone|mäne aitha (KTK)|сходи в амбар|käy aitassa|tuo mida-n’i aitas piä (KTK)|принеси что-нибудь из амбара|tuo jotakin aitasta|||
s.|ajaj|ajaj, -an, -ad|ездок; пассажир|ajaja; matkustaja|||||||||
s. yhd.|raccahil/ajaj|rachiil/ajaj|всадник|ratsumies, ratsastaja|||||||||
a.|ajamatoi|ajamat/uu, -oman, -omad|необъезженный|ajamaton|||||||||
s.|ajand|ajand, -an, -ad|езда|ajo, ajaminen|||||||||
s.|ajelend|ajel’end, -an, -ad|катание|ajelu|||||||||
s.|akoiden-|akuun-|женский|naisten-|||||||||
s.|akoidenvračč|akuun/vračč|гинеколог|naistenlääkäri, gynekologi|||||||||
s.|akt|akt, -an, -ad|акт|akti|akt pidab kir’itada (KTK)|нужно написать акт|pitää kirjoittaa akti||||||
s.|akul|akul, -an, -ad|акула|haikala, hai|||||||||
s.|akušerk|akušerk, -an, -ad|акушерка|kätilö|||||||||
adv.|alahaiči|alahaači|низом|alitse|||||||||
s. dem.|aldoine|ald/uun’e, -uužen, -ošt|маленькая волна|pieni aalto|hubad alduužed|маленькие волны, зыбь|pienet aallot||||||
a.|alemb|al’emb, -an, -ad|низший|alempi|||||||||
adv.|alemba|al’emba|ниже|alempana|||||||||
a.|alembaine|al’emba/an’e, -ažen, -št|нижний|alimmainen|||||||||
v.|aleta II|al’e/ta, -nob, -n’ ~ -n’ii|угомониться|rauhoittua|||||||||
postp.|alpiä|al/piä|из-под|alta|||||||||
s.|ambuj|ambuj, -an, -ad|стрелок|ampuja|||||||||
s.|ambund|ambund, -an, -ad|стрельба, пальба, обстрел; выстрел|ammunta; laukaus|||||||||
adv.|amožеt|amožеt (KTK)|авось, а может|ehkä|amožеt puutub kala (KTK)|авось рыба попадётся|ehkä tulee kalaa||||||
v. mom.|amuldaita|amuldaa/ta, -dab, -ž ~ -žii|зачерпнуть|ammentaa|||||||||
v.|amulta|amul/ta, -dab|черпать, исчерпать|ammentaa|||||||||
s.|andamine|andami/in’e, -ižen, -št|подача|antaminen|||||||||
s.|andatr|andatr, -an, -ad|ондатра|piisami|||||||||
s. harv.|angeriaz|anger'iaz (PN)|угорь|ankerias|||||||||
v. refl.|antakse|an/takse, -daze, -duuhe(ze)|сдаваться|antautua|||||||||
s.|arest|ar’est, -an, -ad|арест|aresti, pidätys|||||||||
a.|arestuittu|ar’estuitu/d, -n, -d (KTK)|арестованный|pidätetty|||||||||
s.|arkan|arkan, -an, -ad|аркан|suopunki|||||||||
s.|armastand|armastand, -an, -ad|ласка, любовь|hyväily, rakkaus|||||||||
s.|arttel’|art'el’, -in, -id|артель, группа, толпа, орава, гурьба, стадо, компания, коллектив|artteli, joukko|||||||||
s.|artist|art’ist, -an, -ad|актёр, актриса|näyttelijä|||||||||
s.|artut’|artug|ртуть|elohopea|||||||||
s.|arv|arv, -on, -od|стоимость, цена|arvo, hinta|||||||||
v.|ärzüttada|ärz’ü/tada, -tab, -t’ ~ -t’ii (IL)|дразнить, раздразнить|ärsyttää, kiusata|||||||||
part.|äskei|äskii (IL)|даже|jopa|||||||||
adv.|astude|ast(t)e|шагом|askelin|mänen astte (KTK)|иду шагом|kävelen askelin||||||
s.|atak|atak, -an, -ad|атака|rynnäkkö|||||||||
v.|atakuida|ataku/ida, -ib, -i ~ ataku/uda, -ub, -u (KTK)|атаковать|hyökätä|häin ei atakuunu (KTK)|он не атаковал|hän ei hyökännyt||||||
a.|atkav|atkav, -an, -ad|грустный|surullinen|||||||||
s.|atkav|atkav, -an, -ad|скука|ikävä|||||||||
adv.|atkav|atkav|скучно|ikävää|||||||||
s.|avaind|avaand, -an, -ad|открытие|avaus|||||||||
adv.|avoin|avuun|настежь, нараспашку|avoinna, auki|||||||||
s. yhd.|avoinsuu|avuun/suu|разиня, ротозей|avosuu|||||||||
v. refl.|azettudakse|azetu/dakse, -ze, -ihe(ze)|останавливаться|pysähdellä|||||||||
s.|bačk|bačk, -an, -ad|бак|nestesäiliö|||||||||
s.|badminton|badminton, -an, -ad|бадмитон|sulkapallo|||||||||
s.|bagaž|bagaž, -an, -ad|багаж|pakaasi, matkatavarat|||||||||
s.|bagr|bagr, -an, -ad|багор|haka|||||||||
s.|baidark|baidark, -an, -ad|байдарка|kajakka|||||||||
s.|bajan|bajan, -an, -ad|баян|harmonikka|||||||||
s.|bajar’|bajar’, -in, -id|барин (KTK), боярин|herra, pajari|||||||||
v.|bajuttada|baju/tada, -tab, -t’ ~ -t’ii|убаюкивать|tuudittaa|||||||||
s.|bakk|bak/k, -an|бак|nestesäiliö|||||||||
s.|balalaik|balalaik, -an, -ad|балалайка|balaikka|||||||||
s.|balet|balet, -an, -ad|балет|baletti|||||||||
s.|balkon|balkon, -an, -ad|балкон|parveke|||||||||
s.|baluiččij|baluičij, -an, -ad|шалун|telmijä, veitikka|||||||||
v.|baluida|balu/ida, -ib, -i|шалить|peuhata, telmiä|||||||||
s.|banan|banan, -an, -ad|банан|banaani|||||||||
s.|band|band, -an, -ad|банда|rosvojoukko|||||||||
s.|banderol’|banderol’, -in, -id|бандероль|postipaketti|||||||||
s.|bandit|band’it, -an, -ad|бандит|bandiitti, rosvo|||||||||
s.|bank|bank, -an, -ad|банка|purkki|||||||||
