synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
|pn. yhd.|Pitk därv|Pit’k- ~ Pid’(g)/d’är’v|Долгое озеро (озеро)|Pitkäjärvi|Pit’kaz d’ärves om äi kaluud kirj.|в Долгом озере много рыб|Pitkäjärvessä on paljon kaloja||||||
|s.|kündänd|kündand ~ kündänd, -an, -ad|пахота, вспашка|kyntäminen|||||||||
amen'|s.|aamin|aamin (LP) ~ amin, -an, -ad ~ -t|аминь|aamen|lopuks sandaze üks’ aamin l’ibo koume aaminad (LP) kirj.|в конце говорят один или два раза ”аминь”|lopuksi sanotaan yksi tai kolme kertaa ”aamen”||||||
aamen|s.|amen'|amen' (ND)|аминь|aamen|||||||||
abidoita, satattada|v.|abedida|(Pal) abed’i/da, -b, -i; -taze, -t’ihe|обижать, обидеть, унижать, унизить|kiusata, alistaa|||||||||
|s.|abid|abid ~ obid (KTK), -an, -ad; -uun, -uud|обида; обидно|mielipaha, pahamieli, harmi, mielenkarvaus, milenkatkeruus, loukkaus; harmillista|mida ol'ed abidas? (KTK)|на что ты в обиде?|mikä sinua harmittaa?|vahndunu obid (KTK)|застарелая обида|vanhentunut loukkaus|||
|adv.|abidas|abidas|жалобно|haikeasti|||||||||
|s.|adr|adr, -an, -ad; -uun, -uud|соха|aatra|||||||||
|s. yhd.|adrlast|ad/last|полка сохи, полица|luotin, aatranluotin|||||||||
ruumen|s. mon.|aganad|agan/ad, -uun, -uud|мякина (IL), пелёва, остатки при молотьбе|akanat|||||||||
|s.|ägestuz|ägestu/z, -sen, -st; -s’iin, -s’iid|боронование|äestäminen|||||||||
|s.|ägez|äge/z  ~ äge/h (IL), -hen, -st; -hiin, -hiid|борона|äes, hara, karhi|ägehen siäd’iim (LMS 508)|мы сделали борону|äkeen teimme||||||
|s.|ahtahuz|ahtahu/z, -sen, -st; -s’iin, -s’iid  (IL)|теснота|ahtaus|||||||||
ahtahuz|a.|ahtaz|aht/az, -han, -ast; -hiin, -hiid|тесный; теснота; тесно|ahdas; ahtaus; ahdasta|olda ahtahas (IL)|быть в тесноте, ютиться|olla ahtaalla||||||
|a.|ahtaz||||ühtes ahthas, a erže atkav (IL) sl.|вместе тесно, а порознь скучно|yhdessä on ahdasta, mutta erillään on ikävä||||||
|adv. yhd.|aigahsai|aigaha/saa|заблаговременно|hyvissä ajoin|||||||||
|a.|aigaine II|aiga/an’e, -ažen, -št; -ažiin, -ažiid|ранний|aikainen, varhainen|||||||||
|adv. komp.|aigemba|aigemba|ранее|aiemmin|||||||||
|adv. yhd.|äijäksgo|äjaks’/ik|насколько|mikäli, kuinka paljon|||||||||
|a. yhd.|äijäl/kuuluj|äjal/kuuluj|громкий|äänekäs|||||||||
|s. yhd.|äijäl/borččuj|äjal/borčuj (IL)|многоборец|moniottelija|||||||||
|a. yhd.|äijänkierdaine|äjan/kierdaan’e|многократный|monikertainen|||||||||
tiedaj|s. yhd.|äijäntiedaj|äjan/t’iedaj (IL)|эрудит|laajatietoinen|||||||||
|s. yhd.|Äijäpäiv| äja/päiv|Пасха|pääsiäinen, pääsiäisjuhla|tul'iškanč Äjapäiv (ND) kirj.|приближалась Пасха|pääsiäisjuhla oli lähellä||||||
|s. yhd.|Äijäpäiv||||pruaznuičim Veder’is’t’iman, Äjapäivän|мы праздновали Крещение, Пасху|vietimme loppiasita, pääsiäistä||||||
|s. yhd.|Äijäpäiv||||pruazdn’ikan edel Äijanpäivän (ND) kirj.|перед праздником Пасхи|ennen pääsiäisjuhlaa||||||
|s. yhd.|Äijäpäiv||||Äjäpäivän Jevangel'ij biblijas piä (ND) kirj.|Пасхальное Евангелие из Библии|pääsiäisevankeliumi raamatusta||||||
|s. yhd.|Äijäpäiv||||Äjapäiväks kruastaze munaažiid|к Пасхе красят яйца|pääsiäiseksi maalataan munia||||||
Äijäpäiv|s.|Pasha|pasha, -n, -d (ND)|Пасха|pääsiäinen|Pashan edel (ND) kirj.|перед Пасхой|ennen pääsiäistä||||||
|s.|ailaz|ail/az, -han, -ast; -hiin, -hiid|||ailhad panob (KTK)|чувствуются колики|tuntuu pistävä kipu||||||
ainag, ainog, ainoi|a. taipum.|aino|aino|единственный|ainoa, ainut|aino poigaan'e|единственный сыночек|ainoa poika||||||
matkalaine|s.|ajaj|ajaj, -an, -ad|ездок; пассажир|ajaja; matkustaja|||||||||
racastaj, racnik|s. yhd.|raccahil/ajaj|rachiil/ajaj|всадник|ratsumies, ratsastaja|||||||||
|a.|ajamatoi|ajamat/uu, -oman, -omad; -omiin, -omiid|необъезженный|ajamaton|||||||||
|s.|ajand|ajand, -an, -ad|езда|ajo, ajaminen|||||||||
|s.|ajelend|ajel’end, -an, -ad|катание|ajelu|||||||||
akoi, inehmoi, mučoi, naine|s.|akk|a/kk, -kan, -kkad; -kuun, -kuud|женщина, баба; жена, супруга|nainen; vaimo|akk sanub hänel’e (ND) kirj.|женщина говорит ему|nainen sanoo hänelle||||||
|s.|akk||||akk konz rod’ib (ND) kirj.|женщина, когда рожает|nainen kun synnyttää||||||
|s.|akk||||venehes akk ištuihe airuihe, a mužik peradab|в лодке жена садилась за вёсла, а муж правит|veneessä vaimo istuutui airoihin, mutta mies ohjaa perässä||||||
|s.|akk||||akk, mida siä itked? (ND) kirj.|жена, что ты плачешь?|mitä itket, nainen?||||||
|s.|akk||||minun akan tuat, app, meil’ sandaze ”app” (OF)|отец моей жены, тесть, у нас говорят - “тесть”|minun vaimoni isä, appi, meillä sanotaan “appi”||||||
|s.|akk||||viber’ii mindaa akaks (KTK)|выбрал меня в жёны|valitsi minut vaimokseen||||||
|s.|akk||||(Js) Fed’uon akal ol’ii n’imi Oučuo|у жены Фёдора было имя Евдокия|Huotarin vaimon nimi oli Outi||||||
|s.|akk||||ezmaa kasartaze kasriil akad (OF)|сперва женщины рубят косарём (побеги)|ensin naiset katkovat vesurilla (vesoja)||||||
|s.|akoin-|akuun-|женский|naisten-|||||||||
|s.|akoinvračč|akuun/vračč|гинеколог|naistenlääkäri, gynekologi|||||||||
|s.|akt|akt, -an, -ad|акт|akti|pidab akt kir’itada (KTK)|нужно написать акт|pitää kirjoittaa akti||||||
|s.|akul|akul, -an, -ad|акула|haikala, hai|||||||||
|s.|akušerk|akušerk, -an, -ad|акушерка|kätilö|||||||||
alači|adv.|alahaiči|alahaači|низом|alitse|||||||||
|s. dem.|aldoine|ald/uun’e, -uužen, -ošt; -uužiin, -uužiid|маленькая волна|pieni aalto|hubad alduužed|маленькие волны, зыбь|pienet aallot||||||
|a. komp.|alemb|al’emb, -an, -ad|низший|alempi|||||||||
|adv. komp.|alemba|al’emba|ниже|alempana|||||||||
|a.|alembaine|al’emba/an’e, -ažen, -št; -ažiin, -ažiid|нижний|alimmainen|||||||||
|v.|aleta II|al’e/ta, -nob, -n’ ~ -n’ii; -taze, -t’ihe|угомониться|rauhoittua|||||||||
al, läbi|postp. yhd.|alpiä|al/piä|из-под|alta|||||||||
|s.|ambuj|ambuj, -an, -ad|стрелок|ampuja|||||||||
|s.|ambund|ambund, -an, -ad|стрельба, пальба, обстрел; выстрел|ammunta; laukaus|||||||||
|adv.|amožеt|amožеt (KTK)|авось, а может|ehkä|amožеt puutub kala (KTK)|авось рыба попадётся|ehkä tulee kalaa||||||
